# T.4 code lengths, extracted by tools/check_tables.py --emit-lengths
# from an INDEPENDENT transcription: go/pkg/mod/golang.org/x/image@v0.46.0/ccitt/table.go
# table value length
black-makeup 64 10
black-makeup 128 12
black-makeup 192 12
black-makeup 256 12
black-makeup 320 12
black-makeup 384 12
black-makeup 448 12
black-makeup 512 13
black-makeup 576 13
black-makeup 640 13
black-makeup 704 13
black-makeup 768 13
black-makeup 832 13
black-makeup 896 13
black-makeup 960 13
black-makeup 1024 13
black-makeup 1088 13
black-makeup 1152 13
black-makeup 1216 13
black-makeup 1280 13
black-makeup 1344 13
black-makeup 1408 13
black-makeup 1472 13
black-makeup 1536 13
black-makeup 1600 13
black-makeup 1664 13
black-makeup 1728 13
black-term 0 10
black-term 1 3
black-term 2 2
black-term 3 2
black-term 4 3
black-term 5 4
black-term 6 4
black-term 7 5
black-term 8 6
black-term 9 6
black-term 10 7
black-term 11 7
black-term 12 7
black-term 13 8
black-term 14 8
black-term 15 9
black-term 16 10
black-term 17 10
black-term 18 10
black-term 19 11
black-term 20 11
black-term 21 11
black-term 22 11
black-term 23 11
black-term 24 11
black-term 25 11
black-term 26 12
black-term 27 12
black-term 28 12
black-term 29 12
black-term 30 12
black-term 31 12
black-term 32 12
black-term 33 12
black-term 34 12
black-term 35 12
black-term 36 12
black-term 37 12
black-term 38 12
black-term 39 12
black-term 40 12
black-term 41 12
black-term 42 12
black-term 43 12
black-term 44 12
black-term 45 12
black-term 46 12
black-term 47 12
black-term 48 12
black-term 49 12
black-term 50 12
black-term 51 12
black-term 52 12
black-term 53 12
black-term 54 12
black-term 55 12
black-term 56 12
black-term 57 12
black-term 58 12
black-term 59 12
black-term 60 12
black-term 61 12
black-term 62 12
black-term 63 12
ext-makeup 1792 11
ext-makeup 1856 11
ext-makeup 1920 11
ext-makeup 1984 12
ext-makeup 2048 12
ext-makeup 2112 12
ext-makeup 2176 12
ext-makeup 2240 12
ext-makeup 2304 12
ext-makeup 2368 12
ext-makeup 2432 12
ext-makeup 2496 12
ext-makeup 2560 12
modes 0 4
modes 1 3
modes 2 1
modes 3 3
modes 4 6
modes 5 7
modes 6 3
modes 7 6
modes 8 7
white-makeup 64 5
white-makeup 128 5
white-makeup 192 6
white-makeup 256 7
white-makeup 320 8
white-makeup 384 8
white-makeup 448 8
white-makeup 512 8
white-makeup 576 8
white-makeup 640 8
white-makeup 704 9
white-makeup 768 9
white-makeup 832 9
white-makeup 896 9
white-makeup 960 9
white-makeup 1024 9
white-makeup 1088 9
white-makeup 1152 9
white-makeup 1216 9
white-makeup 1280 9
white-makeup 1344 9
white-makeup 1408 9
white-makeup 1472 9
white-makeup 1536 9
white-makeup 1600 9
white-makeup 1664 6
white-makeup 1728 9
white-term 0 8
white-term 1 6
white-term 2 4
white-term 3 4
white-term 4 4
white-term 5 4
white-term 6 4
white-term 7 4
white-term 8 5
white-term 9 5
white-term 10 5
white-term 11 5
white-term 12 6
white-term 13 6
white-term 14 6
white-term 15 6
white-term 16 6
white-term 17 6
white-term 18 7
white-term 19 7
white-term 20 7
white-term 21 7
white-term 22 7
white-term 23 7
white-term 24 7
white-term 25 7
white-term 26 7
white-term 27 7
white-term 28 7
white-term 29 8
white-term 30 8
white-term 31 8
white-term 32 8
white-term 33 8
white-term 34 8
white-term 35 8
white-term 36 8
white-term 37 8
white-term 38 8
white-term 39 8
white-term 40 8
white-term 41 8
white-term 42 8
white-term 43 8
white-term 44 8
white-term 45 8
white-term 46 8
white-term 47 8
white-term 48 8
white-term 49 8
white-term 50 8
white-term 51 8
white-term 52 8
white-term 53 8
white-term 54 8
white-term 55 8
white-term 56 8
white-term 57 8
white-term 58 8
white-term 59 8
white-term 60 8
white-term 61 8
white-term 62 8
white-term 63 8
